code,name,description,category,url,status
MNFE,,,S,,active
FLDI,,,L,,active
CNLI,,,H,,active
DTCHI,,,H,,active
SYSI,,,H,,active
ISL,,,T,,active
ISLS,,,T,,active
STLMT,,,P,,active
ISTH,,,T,,active
JTY,,,S,,active
KRST,,,T,,active
CMPLA,,,S,,active
LGN,,,H,,active
LGNS,,,H,,active
LK,,,H,,active
LBED,,,H,,active
CHNL,,,H,,active
RGNL,,,L,,active
LKS,,,H,,active
ISLT,,,T,,active
LNDF,,,S,,active
LDNG,,,S,,active
LAVA,,,T,,active
MNPB,,,S,,active
LTER,,,A,,active
LEPC,,,S,,active
HSPL,,,S,,active
LEV,,,T,,active
LTHSE,,,S,,active
MFGLM,,,S,,active
GOVL,,,S,,active
LCTY,,,L,,active
LOCK,,,S,,active
CMPL,,,S,,active
STMSB,,,H,,active
MVA,,,L,,active
ISLM,,,T,,active
MGV,,,H,,active
MAR,,,S,,active
CHNM,,,H,,active
SCHN,,,S,,active
MKT,,,S,,active
MRSH,,,H,,active
MDW,,,V,,active
NKM,,,T,,active
CTRM,,,S,,active
MESA,,,T,,active
STNM,,,S,,active
MILB,,,L,,active
INSM,,,S,,active
SCHM,,,S,,active
ML,,,S,,active
MN,,,S,,active
MNA,,,L,,active
CMPMN,,,S,,active
MSSN,,,S,,active
MOLE,,,S,,active
MSTY,,,S,,active
MNMT,,,S,,active
MOOR,,,H,,active
MRN,,,T,,active
MSQE,,,S,,active
MND,,,T,,active
MT,,,T,,active
MTS,,,T,,active
FLTM,,,H,,active
MFGM,,,S,,active
MUS,,,S,,active
NRWS,,,H,,active
TNLN,,,R,,active
RESN,,,L,,active
NVB,,,L,,active
CNLN,,,H,,active
CHNN,,,H,,active
MNNI,,,S,,active
NOV,,,S,,active
PSN,,,S,,active
NTK,,,T,,active
NTKS,,,T,,active
NSY,,,S,,active
OAS,,,L,,active
OBPT,,,S,,active
OBS,,,S,,active
OCN,,,H,,active
BLDO,,,S,,active
CMPO,,,S,,active
ESTO,,,S,,active
OILP,,,R,,active
OILJ,,,S,,active
TRMO,,,S,,active
PMPO,,,S,,active
OILR,,,S,,active
OILW,,,S,,active
OILF,,,L,,active
GRVO,,,V,,active
MLO,,,S,,active
OCH,,,V,,active
MLM,,,S,,active
OVF,,,H,,active
LKO,,,H,,active
PGDA,,,S,,active
PAL,,,S,,active
GRVP,,,V,,active
RESP,,,L,,active
PAN,,,T,,active
PANS,,,T,,active
PRSH,,,A,,active
PRK,,,L,,active
PRKGT,,,S,,active
PRKHQ,,,S,,active
GARG,,,S,,active
PKLT,,,S,,active
PASS,,,T,,active
PSTP,,,S,,active
PK,,,T,,active
PKS,,,T,,active
PEAT,,,L,,active
PEN,,,T,,active
BSNP,,,L,,active
MFGPH,,,S,,active
PIER,,,S,,active
GRVPN,,,V,,active
MNPL,,,S,,active
PLN,,,T,,active
PLAT,,,T,,active
PT,,,T,,active
PTS,,,T,,active
PLDR,,,T,,active
PP,,,S,,active
PCL,,,A,,active
PND,,,H,,active
PNDS,,,H,,active
POOL,,,H,,active
PPLL,,,P,,active
PPL,,,P,,active
PPLS,,,P,,active
PRT,,,L,,active
PTGE,,,R,,active
PO,,,S,,active
PS,,,S,,active
PRN,,,S,,active
PRMN,,,R,,active
PROM,,,T,,active
PYR,,,S,,active
PYRS,,,S,,active
MNQR,,,S,,active
QUAY,,,S,,active
QCKS,,,L,,active
RECR,,,S,,active
OBSR,,,S,,active
STNR,,,S,,active
RR,,,R,,active
RJCT,,,R,,active
RSD,,,S,,active
RSGNL,,,S,,active
RSTN,,,S,,active
RSTP,,,S,,active
TNLRR,,,R,,active
RYD,,,R,,active
RNCH,,,S,,active
RPDS,,,H,,active
RVN,,,H,,active
RCH,,,H,,active
RF,,,H,,active
PRNJ,,,S,,active
CMPRF,,,S,,active
RGN,,,L,,active
CTRR,,,S,,active
PPLR,,,P,,active
RLG,,,S,,active
ITTR,,,S,,active
RESV,,,L,,active
RES,,,L,,active
RSV,,,H,,active
RSRT,,,S,,active
RHSE,,,S,,active
RLGR,,,S,,active
RDGE,,,T,,active
RD,,,R,,active
RDB,,,R,,active
RDCUT,,,R,,active
RDJCT,,,R,,active
TNLRD,,,R,,active
RDST,,,H,,active
RK,,,T,,active
HMDA,,,T,,active
RKFL,,,T,,active
RKS,,,T,,active
RKRY,,,S,,active
ESTR,,,S,,active
RUIN,,,S,,active
BDGQ,,,S,,active
DAMQ,,,S,,active
SBKH,,,H,,active
SDL,,,T,,active
SALT,,,L,,active
MFGN,,,H,,active
LKN,,,H,,active
LKSN,,,H,,active
MRSHN,,,H,,active
MNN,,,S,,active
PNDN,,,H,,active
PNDSN,,,H,,active
SNTR,,,S,,active
SAND,,,T,,active
ERG,,,T,,active
STNS,,,S,,active
MLSW,,,S,,active
SCH,,,S,,active
ADMS,,,A,,active
STNB,,,S,,active
SCRB,,,V,,active
SEA,,,H,,active
SCNU,,,U,,active
SCSU,,,U,,active
SMU,,,U,,active
SMSU,,,U,,active
AIRS,,,H,,active
PPLA,,,P,,active
PPLA4,,,P,,active
PPLA2,,,P,,active
PPLA3,,,P,,active
ADM2,,,A,,active
BNKX,,,H,,active
CNLX,,,H,,active
ESTX,,,S,,active
HBRX,,,H,,active
PCLIX,,,A,,active
