code,name,description,category,url,status
application/mrb-publish+xml,,,application,,active
application/msc-ivr+xml,,,application,,active
application/msc-mixer+xml,,,application,,active
application/msword,,,application,,active
application/mud+json,,,application,,active
application/mxf,,,application,,active
application/n-quads,,,application,,active
application/n-triples,,,application,,active
application/nasdata,,,application,,active
application/news-checkgroups,,,application,,active
application/news-groupinfo,,,application,,active
application/news-transmission,,,application,,active
application/nlsml+xml,,,application,,active
application/nss,,,application,,active
application/ocsp-request,,,application,,active
application/ocsp-response,,,application,,active
application/octet-stream,,,application,,active
application/oda,,,application,,active
application/ODX,,,application,,active
application/oebps-package+xml,,,application,,active
application/ogg,,,application,,active
application/oxps,,,application,,active
application/p2p-overlay+xml,,,application,,active
application/parityfec,,,application,,active
application/patch-ops-error+xml,,,application,,active
application/pdf,,,application,,active
application/PDX,,,application,,active
application/pgp-encrypted,,,application,,active
application/pgp-keys,,,application,,active
application/pgp-signature,,,application,,active
application/pidf-diff+xml,,,application,,active
application/pidf+xml,,,application,,active
application/pkcs10,,,application,,active
application/pkcs7-mime,,,application,,active
application/pkcs7-signature,,,application,,active
application/pkcs8,,,application,,active
application/pkcs12,,,application,,active
application/pkix-attr-cert,,,application,,active
application/pkix-cert,,,application,,active
application/pkix-crl,,,application,,active
application/pkix-pkipath,,,application,,active
application/pkixcmp,,,application,,active
application/pls+xml,,,application,,active
application/poc-settings+xml,,,application,,active
application/postscript,,,application,,active
application/ppsp-tracker+json,,,application,,active
application/problem+json,,,application,,active
application/problem+xml,,,application,,active
application/provenance+xml,,,application,,active
application/prs.alvestrand.titrax-sheet,,,application,,active
application/prs.cww,,,application,,active
application/prs.hpub+zip,,,application,,active
application/prs.nprend,,,application,,active
application/prs.plucker,,,application,,active
application/prs.rdf-xml-crypt,,,application,,active
application/prs.xsf+xml,,,application,,active
application/pskc+xml,,,application,,active
application/rdf+xml,,,application,,active
application/qsig,,,application,,active
application/raptorfec,,,application,,active
application/rdap+json,,,application,,active
application/reginfo+xml,,,application,,active
application/relax-ng-compact-syntax,,,application,,active
application/remote-printing,,,application,,active
application/reputon+json,,,application,,active
application/resource-lists-diff+xml,,,application,,active
application/resource-lists+xml,,,application,,active
application/rfc+xml,,,application,,active
application/riscos,,,application,,active
application/rlmi+xml,,,application,,active
application/rls-services+xml,,,application,,active
application/rpki-ghostbusters,,,application,,active
application/rpki-manifest,,,application,,active
application/rpki-publication,,,application,,active
application/rpki-roa,,,application,,active
application/rpki-updown,,,application,,active
application/rtf,,,application,,active
application/rtploopback,,,application,,active
application/rtx,,,application,,active
application/samlassertion+xml,,,application,,active
application/samlmetadata+xml,,,application,,active
application/sbml+xml,,,application,,active
application/scaip+xml,,,application,,active
application/scim+json,,,application,,active
application/scvp-cv-request,,,application,,active
application/scvp-cv-response,,,application,,active
application/scvp-vp-request,,,application,,active
application/scvp-vp-response,,,application,,active
application/sdp,,,application,,active
application/sep-exi,,,application,,active
application/sep+xml,,,application,,active
application/session-info,,,application,,active
application/set-payment,,,application,,active
application/set-payment-initiation,,,application,,active
application/set-registration,,,application,,active
application/set-registration-initiation,,,application,,active
application/sgml,,,application,,active
application/sgml-open-catalog,,,application,,active
application/shf+xml,,,application,,active
application/sieve,,,application,,active
application/simple-filter+xml,,,application,,active
application/simple-message-summary,,,application,,active
application/simpleSymbolContainer,,,application,,active
application/slate,,,application,,active
application/smil,,,application,,withdrawn
application/smil+xml,,,application,,active
application/smpte336m,,,application,,active
application/soap+fastinfoset,,,application,,active
application/soap+xml,,,application,,active
application/sparql-query,,,application,,active
application/sparql-results+xml,,,application,,active
application/spirits-event+xml,,,application,,active
application/sql,,,application,,active
application/srgs,,,application,,active
application/srgs+xml,,,application,,active
application/sru+xml,,,application,,active
application/ssml+xml,,,application,,active
application/tamp-apex-update,,,application,,active
application/tamp-apex-update-confirm,,,application,,active
application/tamp-community-update,,,application,,active
application/tamp-community-update-confirm,,,application,,active
application/tamp-error,,,application,,active
application/tamp-sequence-adjust,,,application,,active
application/tamp-sequence-adjust-confirm,,,application,,active
application/tamp-status-query,,,application,,active
application/tamp-status-response,,,application,,active
application/tamp-update,,,application,,active
application/tamp-update-confirm,,,application,,active
application/tei+xml,,,application,,active
application/thraud+xml,,,application,,active
application/timestamp-query,,,application,,active
application/timestamp-reply,,,application,,active
application/timestamped-data,,,application,,active
application/trig,,,application,,active
application/ttml+xml,,,application,,active
application/tve-trigger,,,application,,active
application/ulpfec,,,application,,active
application/urc-grpsheet+xml,,,application,,active
application/urc-ressheet+xml,,,application,,active
application/urc-targetdesc+xml,,,application,,active
application/urc-uisocketdesc+xml,,,application,,active
application/vcard+json,,,application,,active
application/vcard+xml,,,application,,active
