code,name,description,category,url,status
US-13,African Development Foundation,,,,active
US-15,Centers for Disease Control and Prevention,,,,active
US-16,National Institutes of Health,,,,active
US-17,Department of Labor,,,,active
US-2,Department of Agriculture,,,,active
US-31,Export Import Bank,,,,active
US-5,Department of Transportation,,,,active
US-6,Department of Treasury,,,,active
US-7,Department of Defense,,,,active
US-8,Miscellaneous,,,,active
US-9,Department of Interior,,,,active
41101,Convention to Combat Desertification,,,,active
41102,Desert Locust Control Organisation for Eastern Africa,,,,active
41103,Economic Commission for Africa,,,,active
41104,Economic Commission for Latin America and the Caribbean,,,,active
41105,Economic and Social Commission for Western Asia,,,,active
41106,Economic and Social Commission for Asia and the Pacific,,,,active
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),,,,active
41108,International Fund for Agricultural Development,,,,active
41109,International Research and Training Institute for the Advancement of Women,,,,active
41110,Joint United Nations Programme on HIV/AIDS,,,,active
41111,United Nations Capital Development Fund,,,,active
41112,United Nations Conference on Trade and Development,,,,active
41114,United Nations Development Programme,,,,active
41116,United Nations Environment Programme,,,,active
41118,United Nations Framework Convention on Climate Change,,,,active
41119,United Nations Population Fund,,,,active
41120,United Nations Human Settlement Programme,,,,active
41121,United Nations Office of the United Nations High Commissioner for Refugees,,,,active
41122,United Nations Children's Fund,,,,active
41123,United Nations Industrial Development Organisation,,,,active
41124,United Nations Development Fund for Women,,,,active
41125,United Nations Institute for Training and Research,,,,active
41126,United Nations Mine Action Service,,,,active
41127,United Nations Office of Co-ordination of Humanitarian Affairs,,,,active
41128,United Nations Office on Drugs and Crime,,,,active
41129,United Nations Research Institute for Social Development,,,,active
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,,,,active
41131,United Nations System Staff College,,,,active
41132,United Nations System Standing Committee on Nutrition,,,,active
41133,United Nations Special Initiative on Africa,,,,active
41134,United Nations University (including Endowment Fund),,,,active
41135,United Nations Volunteers,,,,active
41136,United Nations Voluntary Fund on Disability,,,,active
41137,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights,,,,active
41138,United Nations Voluntary Fund for Victims of Torture,,,,active
41140,World Food Programme,,,,active
41141,United Nations Peacebuilding Fund (Window Two: Restricted Contributions Only),,,,active
41142,United Nations Democracy Fund,,,,active
41143,World Health Organisation - core voluntary contributions account,,,,active
41301,Food and Agricultural Organisation,,,,active
41302,International Labour Organisation,,,,active
41303,International Telecommunications Union,,,,active
41304,"United Nations Educational, Scientific and Cultural Organisation",,,,active
41305,United Nations,,,,active
41306,Universal Postal Union,,,,active
41307,World Health Organisation - assessed contributions,,,,active
41308,World Intellectual Property Organisation,,,,active
41309,World Meteorological Organisation,,,,active
41310,"United Nations Department of Peacekeeping Operations (excluding UNTSO, UNMOGIP, UNFICYP, UNDOF)",,,,active
41311,United Nations Peacebuilding Fund (Window One: Flexible Contributions Only),,,,active
41312,International Atomic Energy Agency - assessed contributions,,,,active
41313,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),,,,active
41314,United Nations Economic Commission for Europe (extrabudgetary contributions only),,,,active
42001,European Commission - Development Share of Budget,,,,active
42003,European Commission - European Development Fund,,,,active
42004,European Investment Bank (interest subsidies only),,,,active
42005,Facility for Euro-Mediterranean Investment and Partnership Trust Fund,,,,active
42006,Global Energy Efficiency and Renewable Energy Fund,,,,active
43001,International Monetary Fund - Poverty Reduction and Growth Facility Trust,,,,active
43002,"International Monetary Fund - Poverty Reduction and Growth Facility - Heavily Indebted Poor Countries Initiative Trust (includes HIPC, PRGF and PRGF-HIPC sub-accounts)",,,,active
43003,International Monetary Fund - Subsidization of IMF Emergency Assistance for Natural Disasters,,,,active
44001,International Bank for Reconstruction and Development,,,,active
44002,International Development Association,,,,active
44003,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund,,,,active
44004,International Finance Corporation,,,,active
44005,Multilateral Investment Guarantee Agency,,,,active
44006,Advance Market Commitments,,,,active
44007,International Development Association - Multilateral Debt Relief Initiative,,,,active
45001,World Trade Organisation - International Trade Centre,,,,active
45002,World Trade Organisation - Advisory Centre on WTO Law,,,,active
45003,World Trade Organisation - Doha Development Agenda Global Trust Fund,,,,active
46001,African Solidarity Fund,,,,active
46002,African Development Bank,,,,active
46003,African Development Fund,,,,active
46004,Asian Development Bank,,,,active
46005,Asian Development Fund,,,,active
46006,Black Sea Trade and Development Bank,,,,active
46007,Central American Bank for Economic Integration,,,,active
46008,Andean Development Corporation,,,,active
46009,Caribbean Development Bank,,,,active
46012,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund",,,,active
46013,Inter-American Development Fund for Special Operations,,,,active
47001,African Capacity Building Foundation,,,,active
47002,Asian Productivity Organisation,,,,active
47003,Association of South East Asian Nations: Economic Co-operation,,,,active
47004,ASEAN Cultural Fund,,,,active
47005,African Union (excluding peacekeeping facilities),,,,active
47008,World Vegetable Centre,,,,active
47009,African and Malagasy Council for Higher Education,,,,active
47010,Commonwealth Agency for Public Administration and Management,,,,active
47011,Caribbean Community Secretariat,,,,active
47012,Caribbean Epidemiology Centre,,,,active
47013,Commonwealth Foundation,,,,active
47014,Commonwealth Fund for Technical Co-operation,,,,active
47015,Consultative Group on International Agricultural Research,,,,active
47016,Commonwealth Institute,,,,active
47017,International Centre for Tropical Agriculture,,,,active
47018,Centre for International Forestry Research,,,,active
47019,International Centre for Advanced Mediterranean Agronomic Studies,,,,active
47020,International Maize and Wheat Improvement Centre,,,,active
47021,International Potato Centre,,,,active
47022,Convention on International Trade in Endangered Species of Wild Flora and Fauna,,,,active
47023,Commonwealth Legal Advisory Service,,,,active
47024,Commonwealth Media Development Fund,,,,active
47025,Commonwealth of Learning,,,,active
47026,Community of Portuguese Speaking Countries,,,,active
47027,Colombo Plan,,,,active
47028,Commonwealth Partnership for Technical Management,,,,active
47029,Sahel and West Africa Club,,,,active
47030,Commonwealth Scientific Council,,,,active
47031,Commonwealth Small States Office,,,,active
47032,Commonwealth Trade and Investment Access Facility,,,,active
47033,Commonwealth Youth Programme,,,,active
47034,Economic Community of West African States,,,,active
47035,Environmental Development Action in the Third World,,,,active
47036,European and Mediterranean Plant Protection Organisation,,,,active
47037,Eastern-Regional Organisation of Public Administration,,,,active
47038,INTERPOL Fund for Aid and Technical Assistance to Developing Countries,,,,active
47040,Forum Fisheries Agency,,,,active
47041,Food and Fertilizer Technology Centre,,,,active
47042,Foundation for International Training,,,,active
47043,Global Crop Diversity Trust,,,,active
47044,Global Environment Facility,,,,active
47045,"Global Fund to Fight AIDS, Tuberculosis and Malaria",,,,active
47046,International Organisation of the Francophonic,,,,active
47047,International African Institute,,,,active
47048,Inter-American Indian Institute,,,,active
47049,International Bureau of Education - International Educational Reporting System (IERS),,,,active
