code,name,description,language,category,category-name,category-description
1,General,"Unstructured, long description of the activity ",en,,,
2,Objectives,"Specific objectives for the activity, e.g. taken from logical framework",en,,,
3,Target Groups,Details of groups that are intended to benefit from the activity,en,,,
4,Other,For miscellaneous use. A further classification or breakdown may be included in the narrative,en,,,
