code,name,description,language,category,category-name,category-description
1,Administrative Region,"The designated geographic location is an administrative region (state, county, province, district, municipality etc.)",en,,,
2,Populated Place,"The designated geographic location is a populated place (town, village, farm etc.)",en,,,
3,Structure,The designated geopgraphic location is a structure (such as a school or a clinic),en,,,
4,Other Topographical Feature,"The designated geographic location is a topographical feature, such as a mountain, a river, a forest",en,,,
