code,name,description,language,category,category-name,category-description
1,Free standing technical cooperation,Free standing technical cooperation (Col 24 in CRS++ Reporting format),en,,,
2,Programme-based approach,Programme-based approach (Col 25 in CRS++ Reporting format),en,,,
3,Investment project,Investment project (Col 26 in CRS++ Reporting format),en,,,
4,Associated financing,Associated financing (Col 27 in CRS++ Reporting format),en,,,
