code,name,description,language,category,category-name,category-description
1,Money is disbursed through central Ministry of Finance or Treasury,Money is disbursed through central Ministry of Finance or Treasury,en,,,
2,Money is disbursed directly to the implementing institution and managed through a separate bank account,Money is disbursed directly to the implementing institution and managed through a separate bank account,en,,,
3,"Aid in kind: Donors utilise third party agencies, e.g. NGOs or management companies","Aid in kind: Donors utilise third party agencies, e.g. NGOs or management companies",en,,,
4,Aid in kind: Donors manage funds themselves,Aid in kind: Donors manage funds themselves,en,,,
