code,name,description,language,category,category-name,category-description
PT-71,Conselho de garantias financeiras,,en,,,
SE-2,Ministry of Foreign Affairs,,en,,,
SE-6,Swedish International Development Authority,,en,,,
SE-71,Swedish Export Credits Guarantee Board,,en,,,
US-1,Agency for International Development,,en,,,
US-10,Peace Corps,,en,,,
US-11,State Department,,en,,,
US-12,Trade and Development Agency,,en,,,
US-13,African Development Foundation,,en,,,
US-15,Centers for Disease Control and Prevention,,en,,,
US-16,National Institutes of Health,,en,,,
US-17,Department of Labor,,en,,,
US-2,Department of Agriculture,,en,,,
US-31,Export Import Bank,,en,,,
US-5,Department of Transportation,,en,,,
US-6,Department of Treasury,,en,,,
US-7,Department of Defense,,en,,,
US-8,Miscellaneous,,en,,,
US-9,Department of Interior,,en,,,
41101,Convention to Combat Desertification,,en,,,
41102,Desert Locust Control Organisation for Eastern Africa,,en,,,
41103,Economic Commission for Africa,,en,,,
41104,Economic Commission for Latin America and the Caribbean,,en,,,
41105,Economic and Social Commission for Western Asia,,en,,,
41106,Economic and Social Commission for Asia and the Pacific,,en,,,
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),,en,,,
41108,International Fund for Agricultural Development,,en,,,
41109,International Research and Training Institute for the Advancement of Women,,en,,,
41110,Joint United Nations Programme on HIV/AIDS,,en,,,
41111,United Nations Capital Development Fund,,en,,,
41112,United Nations Conference on Trade and Development,,en,,,
41114,United Nations Development Programme,,en,,,
41116,United Nations Environment Programme,,en,,,
41118,United Nations Framework Convention on Climate Change,,en,,,
41119,United Nations Population Fund,,en,,,
41120,United Nations Human Settlement Programme,,en,,,
41121,United Nations Office of the United Nations High Commissioner for Refugees,,en,,,
41122,United Nations Children's Fund,,en,,,
41123,United Nations Industrial Development Organisation,,en,,,
41124,United Nations Development Fund for Women,,en,,,
41125,United Nations Institute for Training and Research,,en,,,
41126,United Nations Mine Action Service,,en,,,
41127,United Nations Office of Co-ordination of Humanitarian Affairs,,en,,,
41128,United Nations Office on Drugs and Crime,,en,,,
41129,United Nations Research Institute for Social Development,,en,,,
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,,en,,,
41131,United Nations System Staff College,,en,,,
41132,United Nations System Standing Committee on Nutrition,,en,,,
41133,United Nations Special Initiative on Africa,,en,,,
41134,United Nations University (including Endowment Fund),,en,,,
41135,United Nations Volunteers,,en,,,
41136,United Nations Voluntary Fund on Disability,,en,,,
41137,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights,,en,,,
41138,United Nations Voluntary Fund for Victims of Torture,,en,,,
41140,World Food Programme,,en,,,
41141,United Nations Peacebuilding Fund (Window Two: Restricted Contributions Only),,en,,,
41142,United Nations Democracy Fund,,en,,,
41143,World Health Organisation - core voluntary contributions account,,en,,,
41301,Food and Agricultural Organisation,,en,,,
41302,International Labour Organisation,,en,,,
41303,International Telecommunications Union,,en,,,
41304,"United Nations Educational, Scientific and Cultural Organisation ",,en,,,
41305,United Nations,,en,,,
41306,Universal Postal Union,,en,,,
41307,World Health Organisation - assessed contributions,,en,,,
41308,World Intellectual Property Organisation,,en,,,
41309,World Meteorological Organisation,,en,,,
41310,"United Nations Department of Peacekeeping Operations (excluding UNTSO, UNMOGIP, UNFICYP, UNDOF) ",,en,,,
41311,United Nations Peacebuilding Fund (Window One: Flexible Contributions Only),,en,,,
41312,International Atomic Energy Agency - assessed contributions,,en,,,
41313,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),,en,,,
41314,United Nations Economic Commission for Europe (extrabudgetary contributions only),,en,,,
42001,European Commission - Development Share of Budget,,en,,,
42003,European Commission - European Development Fund,,en,,,
42004,European Investment Bank (interest subsidies only),,en,,,
42005,Facility for Euro-Mediterranean Investment and Partnership Trust Fund,,en,,,
42006,Global Energy Efficiency and Renewable Energy Fund,,en,,,
43001,International Monetary Fund - Poverty Reduction and Growth Facility Trust,,en,,,
43002,"International Monetary Fund - Poverty Reduction and Growth Facility - Heavily Indebted Poor Countries Initiative Trust (includes HIPC, PRGF and PRGF-HIPC sub-accounts) ",,en,,,
43003,International Monetary Fund - Subsidization of IMF Emergency Assistance for Natural Disasters,,en,,,
44001,International Bank for Reconstruction and Development,,en,,,
44002,International Development Association,,en,,,
44003,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund,,en,,,
44004,International Finance Corporation,,en,,,
44005,Multilateral Investment Guarantee Agency,,en,,,
44006,Advance Market Commitments,,en,,,
44007,International Development Association - Multilateral Debt Relief Initiative,,en,,,
45001,World Trade Organisation - International Trade Centre,,en,,,
45002,World Trade Organisation - Advisory Centre on WTO Law,,en,,,
45003,World Trade Organisation - Doha Development Agenda Global Trust Fund,,en,,,
46001,African Solidarity Fund,,en,,,
46002,African Development Bank,,en,,,
46003,African Development Fund,,en,,,
46004,Asian Development Bank,,en,,,
46005,Asian Development Fund,,en,,,
46006,Black Sea Trade and Development Bank,,en,,,
46007,Central American Bank for Economic Integration,,en,,,
46008,Andean Development Corporation,,en,,,
46009,Caribbean Development Bank,,en,,,
46012,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",,en,,,
46013,Inter-American Development Fund for Special Operations,,en,,,
47001,African Capacity Building Foundation,,en,,,
47002,Asian Productivity Organisation,,en,,,
47003,Association of South East Asian Nations: Economic Co-operation,,en,,,
47004,ASEAN Cultural Fund,,en,,,
47005,African Union (excluding peacekeeping facilities),,en,,,
47008,World Vegetable Centre,,en,,,
47009,African and Malagasy Council for Higher Education,,en,,,
47010,Commonwealth Agency for Public Administration and Management,,en,,,
47011,Caribbean Community Secretariat,,en,,,
47012,Caribbean Epidemiology Centre,,en,,,
47013,Commonwealth Foundation,,en,,,
47014,Commonwealth Fund for Technical Co-operation,,en,,,
47015,Consultative Group on International Agricultural Research,,en,,,
47016,Commonwealth Institute,,en,,,
47017,International Centre for Tropical Agriculture,,en,,,
47018,Centre for International Forestry Research,,en,,,
47019,International Centre for Advanced Mediterranean Agronomic Studies,,en,,,
47020,International Maize and Wheat Improvement Centre,,en,,,
47021,International Potato Centre,,en,,,
47022,Convention on International Trade in Endangered Species of Wild Flora and Fauna,,en,,,
47023,Commonwealth Legal Advisory Service,,en,,,
47024,Commonwealth Media Development Fund,,en,,,
47025,Commonwealth of Learning,,en,,,
47026,Community of Portuguese Speaking Countries,,en,,,
47027,Colombo Plan,,en,,,
47028,Commonwealth Partnership for Technical Management,,en,,,
47029,Sahel and West Africa Club,,en,,,
47030,Commonwealth Scientific Council,,en,,,
47031,Commonwealth Small States Office,,en,,,
47032,Commonwealth Trade and Investment Access Facility,,en,,,
47033,Commonwealth Youth Programme,,en,,,
47034,Economic Community of West African States,,en,,,
47035,Environmental Development Action in the Third World,,en,,,
47036,European and Mediterranean Plant Protection Organisation,,en,,,
47037,Eastern-Regional Organisation of Public Administration,,en,,,
47038,INTERPOL Fund for Aid and Technical Assistance to Developing Countries,,en,,,
47040,Forum Fisheries Agency,,en,,,
47041,Food and Fertilizer Technology Centre,,en,,,
47042,Foundation for International Training,,en,,,
47043,Global Crop Diversity Trust,,en,,,
47044,Global Environment Facility,,en,,,
47045,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",,en,,,
47046,International Organisation of the Francophonic,,en,,,
47047,International African Institute,,en,,,
47048,Inter-American Indian Institute,,en,,,
47049,International Bureau of Education - International Educational Reporting System (IERS),,en,,,
47050,International Cotton Advisory Committee,,en,,,
47051,International Centre for Agricultural Research in Dry Areas,,en,,,
47053,Centre for Health and Population Research,,en,,,
47054,International Centre of Insect Physiology and Ecology,,en,,,
47055,International Centre for Development Oriented Research in Agriculture,,en,,,
47056,World AgroForestry Centre,,en,,,
47057,International Crop Research for Semi-Arid Tropics,,en,,,
47058,International Institute for Democracy and Electoral Assistance,,en,,,
47059,International Development Law Organisation,,en,,,
47060,International Institute for Cotton,,en,,,
47061,Inter-American Institute for Co-operation on Agriculture,,en,,,
47062,International Institute of Tropical Agriculture,,en,,,
47063,International Livestock Research Institute,,en,,,
47064,International Network for Bamboo and Rattan,,en,,,
47065,Intergovernmental Oceanographic Commission,,en,,,
47066,International Organisation for Migration,,en,,,
47067,Intergovernmental Panel on Climate Change,,en,,,
47068,Asia-Pacific Fishery Commission,,en,,,
47069,Biodiversity International,,en,,,
47070,International Rice Research Institute,,en,,,
47071,International Seed Testing Association,,en,,,
47073,International Tropical Timber Organisation,,en,,,
47074,International Vaccine Institute,,en,,,
47075,International Water Management Institute,,en,,,
47076,Justice Studies Centre of the Americas,,en,,,
47077,Mekong River Commission,,en,,,
47078,Multilateral Fund for the Implementation of the Montreal Protocol,,en,,,
47079,Organisation of American States,,en,,,
47080,Organisation for Economic Co-operation and Development (Contributions to special funds for Technical Co-operation Activities Only),,en,,,
47081,OECD Development Centre,,en,,,
47082,Organisation of Eastern Caribbean States,,en,,,
47083,Pan-American Health Organisation,,en,,,
47084,Pan-American Institute of Geography and History,,en,,,
47085,Pan-American Railway Congress Association,,en,,,
47086,Private Infrastructure Development Group,,en,,,
47087,Pacific Islands Forum Secretariat,,en,,,
47088,Relief Net,,en,,,
47089,Southern African Development Community,,en,,,
47090,Southern African Transport and Communications Commission,,en,,,
47091,(Colombo Plan) Special Commonwealth African Assistance Programme,,en,,,
47092,South East Asian Fisheries Development Centre,,en,,,
47093,South East Asian Ministers of Education,,en,,,
47094,South Pacific Applied Geoscience Commission,,en,,,
47095,South Pacific Board for Educational Assessment,,en,,,
47096,Secretariat of the Pacific Community,,en,,,
47097,Pacific Regional Environment Programme,,en,,,
47098,Unrepresented Nations and Peoples' Organisation,,en,,,
47099,University of the South Pacific,,en,,,
47100,West African Monetary Union,,en,,,
47101,Africa Rice Centre,,en,,,
47102,World Customs Organisation Fellowship Programme,,en,,,
47103,World Maritime University,,en,,,
47104,WorldFish Centre,,en,,,
47105,Common Fund for Commodities,,en,,,
47106,Geneva Centre for the Democratic Control of Armed Forces,,en,,,
47107,International Finance Facility for Immunisation,,en,,,
47108,Multi-Country Demobilisation and Reintegration Program,,en,,,
47109,Asia-Pacific Economic Cooperation Support Fund (except contributions tied to counter-terrorism activities),,en,,,
47110,Organisation of the Black Sea Economic Cooperation,,en,,,
47111,Adaptation Fund,,en,,,
47112,Central European Initiative - Special Fund for Climate and Environmental Protection,,en,,,
47113,Economic and Monetary Community of Central Africa,,en,,,
47116,Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries,,en,,,
47117,New Partnership for Africa's Development,,en,,,
47118,Regional Organisation for the Strengthening of Supreme Audit Institutions of Francophone Sub-Saharan Countries,,en,,,
47119,Sahara and Sahel Observatory,,en,,,
47120,South Asian Association for Regional Cooperation,,en,,,
47121,United Cities and Local Governments of Africa,,en,,,
47122,Global Alliance for Vaccines and Immunization,,en,,,
47123,Geneva International Centre for Humanitarian Demining,,en,,,
47125,European Bank for Reconstruction and Development - Early Transition Countries Initiative,,en,,,
47126,European Bank for Reconstruction and Development - Western Balkans Trust Fund,,en,,,
47127,Latin-American Energy Organisation,,en,,,
21001,Association of Geoscientists for International Development,,en,,,
21002,Agency for International Trade Information and Co-operation,,en,,,
21003,Latin American Council for Social Sciences,,en,,,
21004,Council for the Development of Economic and Social Research in Africa,,en,,,
21005,Consumer Unity and Trust Society International,,en,,,
21006,Development Gateway Foundation,,en,,,
21007,Environmental Liaison Centre International,,en,,,
21008,Eurostep,,en,,,
21009,Forum for Agricultural Research in Africa,,en,,,
21010,Forum for African Women Educationalists,,en,,,
21011,Global Campaign for Education,,en,,,
21013,Health Action International,,en,,,
21014,Human Rights Information and Documentation Systems,,en,,,
21015,International Catholic Rural Association,,en,,,
21016,International Committee of the Red Cross,,en,,,
21017,International Centre for Trade and Sustainable Development,,en,,,
21018,International Federation of Red Cross and Red Crescent Societies,,en,,,
21019,International Federation of Settlements and Neighbourhood Centres,,en,,,
21020,International HIV/AIDS Alliance,,en,,,
21021,International Institute for Environment and Development,,en,,,
21022,International Network for Alternative Financial Institutions,,en,,,
21023,International Planned Parenthood Federation,,en,,,
21024,"Inter Press Service, International Association ",,en,,,
21025,International Seismological Centre,,en,,,
21026,International Service for Human Rights,,en,,,
21027,International Trust Fund for Demining and Mine Victims Assistance,,en,,,
21028,International University Exchange Fund - IUEF Stip. in Africa and Latin America,,en,,,
21029,Doctors Without Borders,,en,,,
21030,Pan African Institute for Development,,en,,,
21031,PANOS Institute,,en,,,
21032,Population Services International,,en,,,
21033,Transparency International,,en,,,
21034,International Union Against Tuberculosis and Lung Disease,,en,,,
21035,World Organisation Against Torture,,en,,,
21036,World University Service,,en,,,
21037,Women's World Banking,,en,,,
21038,International Alert,,en,,,
21039,International Institute for Sustainable Development,,en,,,
21040,International Women's Tribune Centre,,en,,,
21041,Society for International Development,,en,,,
21042,International Peacebuilding Alliance,,en,,,
21043,European Parliamentarians for Africa,,en,,,
21044,International Council for the Control of Iodine Deficiency Disorders,,en,,,
21045,African Medical and Research Foundation,,en,,,
21046,Agency for Cooperation and Research in Development,,en,,,
21047,AgriCord,,en,,,
21048,Association of African Universities,,en,,,
21049,European Centre for Development Policy Management,,en,,,
21050,Geneva Call,,en,,,
21051,Institut Supérieur Panafricaine d'Economie Coopérative,,en,,,
21053,"IPAS-Protecting Women's Health, Advancing Women's Reproductive Rights ",,en,,,
21054,Life and Peace Institute,,en,,,
21055,Regional AIDS Training Network,,en,,,
21056,Renewable Energy and Energy Efficiency Partnership,,en,,,
21057,International Centre for Transitional Justice,,en,,,
30001,Global Alliance for Improved Nutrition,,en,,,
30003,Global e-Schools and Communities Initiative,,en,,,
30004,Global Water Partnership,,en,,,
30005,International AIDS Vaccine Initiative,,en,,,
30006,International Partnership on Microbicides,,en,,,
30007,Global Alliance for ICT and Development,,en,,,
30008,Cities Alliance,,en,,,
30009,Small Arms Survey,,en,,,
30010,International drug purchase facility,,en,,,
30011,International Union for the Conservation of Nature,,en,,,
31001,Global Development Network,,en,,,
31002,Global Knowledge Partnership,,en,,,
