code,name,description,language,category,category-name,category-description
1,Bilateral,,en,,,
2,Multilateral (inflows),,en,,,
3,"Bilateral, core contributions to NGOs and other private bodies / PPPs",,en,,,
4,Multilateral outflows,,en,,,
6,Private Sector Outflows,,en,,,
7,"Bilateral, ex-post reporting on NGOs’ activities funded through core contributions",,en,,,
8,"Bilateral, triangular co-operation.","Activities where one or more bilateral providers of development co-operation or international organisations support South-South co-operation, joining forces with developing countries to facilitate a sharing of knowledge and experience among all partners involved. (Activities that only involve bilateral providers or multilateral agencies without a South-South co-operation element (e.g. joint programming, pooled funding or delegated co-operation) should not be assigned bi_multi 8.)",en,,,
