code,name,description,language,category,category-name,category-description
application/mods+xml,,,en,application,,
application/moss-keys,,,en,application,,
application/moss-signature,,,en,application,,
application/mosskey-data,,,en,application,,
application/mosskey-request,,,en,application,,
application/mp21,,,en,application,,
application/mp4,,,en,application,,
application/mpeg4-generic,,,en,application,,
application/mpeg4-iod,,,en,application,,
application/mpeg4-iod-xmt,,,en,application,,
application/mrb-consumer+xml,,,en,application,,
application/mrb-publish+xml,,,en,application,,
application/msc-ivr+xml,,,en,application,,
application/msc-mixer+xml,,,en,application,,
application/msword,,,en,application,,
application/mud+json,,,en,application,,
application/mxf,,,en,application,,
application/n-quads,,,en,application,,
application/n-triples,,,en,application,,
application/nasdata,,,en,application,,
application/news-checkgroups,,,en,application,,
application/news-groupinfo,,,en,application,,
application/news-transmission,,,en,application,,
application/nlsml+xml,,,en,application,,
application/nss,,,en,application,,
application/ocsp-request,,,en,application,,
application/ocsp-response,,,en,application,,
application/octet-stream,,,en,application,,
application/oda,,,en,application,,
application/ODX,,,en,application,,
application/oebps-package+xml,,,en,application,,
application/ogg,,,en,application,,
application/oxps,,,en,application,,
application/p2p-overlay+xml,,,en,application,,
application/parityfec,,,en,application,,
application/patch-ops-error+xml,,,en,application,,
application/pdf,,,en,application,,
application/PDX,,,en,application,,
application/pgp-encrypted,,,en,application,,
application/pgp-keys,,,en,application,,
application/pgp-signature,,,en,application,,
application/pidf-diff+xml,,,en,application,,
application/pidf+xml,,,en,application,,
application/pkcs10,,,en,application,,
application/pkcs7-mime,,,en,application,,
application/pkcs7-signature,,,en,application,,
application/pkcs8,,,en,application,,
application/pkcs12,,,en,application,,
application/pkix-attr-cert,,,en,application,,
application/pkix-cert,,,en,application,,
application/pkix-crl,,,en,application,,
application/pkix-pkipath,,,en,application,,
application/pkixcmp,,,en,application,,
application/pls+xml,,,en,application,,
application/poc-settings+xml,,,en,application,,
application/postscript,,,en,application,,
application/ppsp-tracker+json,,,en,application,,
application/problem+json,,,en,application,,
application/problem+xml,,,en,application,,
application/provenance+xml,,,en,application,,
application/prs.alvestrand.titrax-sheet,,,en,application,,
application/prs.cww,,,en,application,,
application/prs.hpub+zip,,,en,application,,
application/prs.nprend,,,en,application,,
application/prs.plucker,,,en,application,,
application/prs.rdf-xml-crypt,,,en,application,,
application/prs.xsf+xml,,,en,application,,
application/pskc+xml,,,en,application,,
application/rdf+xml,,,en,application,,
application/qsig,,,en,application,,
application/raptorfec,,,en,application,,
application/rdap+json,,,en,application,,
application/reginfo+xml,,,en,application,,
application/relax-ng-compact-syntax,,,en,application,,
application/remote-printing,,,en,application,,
application/reputon+json,,,en,application,,
application/resource-lists-diff+xml,,,en,application,,
application/resource-lists+xml,,,en,application,,
application/rfc+xml,,,en,application,,
application/riscos,,,en,application,,
application/rlmi+xml,,,en,application,,
application/rls-services+xml,,,en,application,,
application/rpki-ghostbusters,,,en,application,,
application/rpki-manifest,,,en,application,,
application/rpki-publication,,,en,application,,
application/rpki-roa,,,en,application,,
application/rpki-updown,,,en,application,,
application/rtf,,,en,application,,
application/rtploopback,,,en,application,,
application/rtx,,,en,application,,
application/samlassertion+xml,,,en,application,,
application/samlmetadata+xml,,,en,application,,
