code,name,description,language,category,category-name,category-description
PLNU,undersea plain,"a flat, gently sloping or nearly level region",en,U,Undersea,
PLTU,undersea plateau,"a comparatively flat-topped feature of considerable extent, dropping off abruptly on one or more sides",en,U,Undersea,
PLFU,undersea platform,a flat or gently sloping underwater surface extending seaward from the shore,en,U,Undersea,
PRVU,undersea province,a region identifiable by a group of similar physiographic features whose characteristics are markedly in contrast with surrounding areas,en,U,Undersea,
RMPU,undersea ramp,a gentle slope connecting areas of different elevations,en,U,Undersea,
RNGU,undersea range,a series of associated ridges or seamounts,en,U,Undersea,
RAVU,undersea ravine,a small canyon,en,U,Undersea,
RFU,undersea reef,a surface-navigation hazard composed of consolidated material,en,U,Undersea,
RFSU,undersea reefs,surface-navigation hazards composed of consolidated material,en,U,Undersea,
RDGU,undersea ridge,a long narrow elevation with steep sides,en,U,Undersea,
RDSU,undersea ridges,long narrow elevations with steep sides,en,U,Undersea,
RISU,undersea rise,"a broad elevation that rises gently, and generally smoothly, from the sea floor",en,U,Undersea,
SDLU,undersea saddle,"a low part, resembling in shape a saddle, in a ridge or between contiguous seamounts",en,U,Undersea,
SHFU,undersea shelf,a zone adjacent to a continent (or around an island) that extends from the low water line to a depth at which there is usually a marked increase of slope towards oceanic depths,en,U,Undersea,
EDGU,undersea shelf edge,a line along which there is a marked increase of slope at the outer margin of a continental shelf or island shelf,en,U,Undersea,
SHVU,undersea shelf valley,"a valley on the shelf, generally the shoreward extension of a canyon",en,U,Undersea,
SHLU,undersea shoal,a surface-navigation hazard composed of unconsolidated material,en,U,Undersea,
SHSU,undersea shoals,hazards to surface navigation composed of unconsolidated material,en,U,Undersea,
SILU,undersea sill,"the low part of an underwater gap or saddle separating basins, including a similar feature at the mouth of a fjord",en,U,Undersea,
SLPU,undersea slope,the slope seaward from the shelf edge to the beginning of a continental rise or the point where there is a general reduction in slope,en,U,Undersea,
SPRU,undersea spur,"a subordinate elevation, ridge, or rise projecting outward from a larger feature",en,U,Undersea,
TERU,undersea terrace,"a relatively flat horizontal or gently inclined surface, sometimes long and narrow, which is bounded by a steeper ascending slope on one side and by a steep descending slope on the opposite side",en,U,Undersea,
TNGU,undersea tongue,an elongate (tongue-like) extension of a flat sea floor into an adjacent higher feature,en,U,Undersea,
TRNU,undersea trench,"a long, narrow, characteristically very deep and asymmetrical depression of the sea floor, with relatively steep sides",en,U,Undersea,
TRGU,undersea trough,"a long depression of the sea floor characteristically flat bottomed and steep sided, and normally shallower than a trench",en,U,Undersea,
VALU,undersea valley,"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient",en,U,Undersea,
VLSU,undersea valleys,"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient",en,U,Undersea,
USGE,United States Government Establishment,a facility operated by the United States Government in Panama,en,S,Spot Features,
UPLD,upland,an extensive interior region of high land with low to moderate surface relief,en,T,Hypsographic,
VAL,valley,an elongated depression usually traversed by a stream,en,T,Hypsographic,
VALS,valleys,elongated depressions usually traversed by a stream,en,T,Hypsographic,
VETF,veterinary facility,a building or camp at which veterinary services are available,en,S,Spot Features,
VIN,vineyard,a planting of grapevines,en,V,Vegetation,
VINS,vineyards,plantings of grapevines,en,V,Vegetation,
VLC,volcano,a conical elevation composed of volcanic materials with a crater at the top,en,T,Hypsographic,
