code,name,description,language,category,category-name,category-description
626,Debt rescheduling: OOF claims (DSR),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
627,Debt rescheduling:  Private claims (DSR),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
630,Debt rescheduling: OOF claim (DSR – original loan principal),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
631,Debt rescheduling: OOF claim (DSR – original loan interest),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
632,Debt rescheduling: Private claim (DSR – original loan principal),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
633,Debt forgiveness/conversion: export credit claims (P),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
634,Debt forgiveness/conversion:  export credit claims (I),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
635,Debt forgiveness:  export credit claims (DSR),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
636,Debt rescheduling:  export credit claims (P),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
637,Debt rescheduling:  export credit claims (I),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
638,Debt rescheduling:  export credit claims (DSR),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
639,Debt rescheduling:  export credit claim (DSR – original loan principal),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
710,"Foreign direct investment, new capital outflow (includes reinvested earnings if separate identification not available)",,en,700,INVESTMENT,Investment made by a private entity resident in a reporting country to acquire or add to a lasting interest(1) in an enterprise in a country on the DAC List of ODA Recipients.
711,"Other foreign direct investment, including reinvested earnings",,en,700,INVESTMENT,Investment made by a private entity resident in a reporting country to acquire or add to a lasting interest(1) in an enterprise in a country on the DAC List of ODA Recipients.
712,"Foreign direct investment, reinvested earnings",,en,700,INVESTMENT,Investment made by a private entity resident in a reporting country to acquire or add to a lasting interest(1) in an enterprise in a country on the DAC List of ODA Recipients.
810,Bank bonds,,en,800,BONDS,Acquisition of bonds issued by developing countries.
811,Non-bank  bonds,,en,800,BONDS,Acquisition of bonds issued by developing countries.
910,Other bank securities/claims,,en,900,OTHER SECURITIES/CLAIMS,
911,Other non-bank securities/claims,,en,900,OTHER SECURITIES/CLAIMS,
912,Purchase of securities from issuing agencies,,en,900,OTHER SECURITIES/CLAIMS,
913,Securities and other instruments originally issued by multilateral agencies,,en,900,OTHER SECURITIES/CLAIMS,
