code,name,description,category,url,status,public-database
GB-PLA,,,GB,https://principal-local-authority.register.gov.uk/records,active,True
GB-REV,,,GB,http://www.hmrc.gov.uk/,active,False
GB-SC,,,GB,http://www.oscr.org.uk/,active,False
GB-SHPE,,,GB,https://social-housing-provider-eng.alpha.openregister.org/,active,True
GB-UKPRN,,,GB,https://www.ukrlp.co.uk/,active,False
GE-NAPR,,,GE,https://enreg.reestri.gov.ge/main.php?m=new_index,active,False
GG-RCE,,,GG,http://www.guernseyregistry.com/,active,False
GH-DSW,,,GH,http://mogcsp.gov.gh/department-of-social-developments/,active,False
HK-CR,,,HK,https://www.icris.cr.gov.hk/csci/,active,True
HR-MBS,,,HR,https://sudreg.pravosudje.hr/registar,active,True
HR-OIB,,,HR,https://sudreg.pravosudje.hr/registar/f?p=150:1,active,True
HU-AFA,,,HU,http://www.e-cegjegyzek.hu/?cegkereses,active,True
ID-KDN,,,ID,http://www.kemendagri.go.id/,withdrawn,False
ID-KHH,,,ID,http://www.kemenkumham.go.id/,active,False
ID-KLN,,,ID,http://www.kemlu.go.id/,active,False
ID-PRO,,,ID,http://www.satulayanan.net/layanan/pendaftaran-lsm-atau-ormas/perizinan-lsm-atau-ormas-baru,withdrawn,False
ID-SMR,,,ID,http://www.smeru.or.id/en,active,False
IE-CHY,,,IE,https://www.charitiesregulatoryauthority.ie/,active,False
IE-CRO,,,IE,http://www.cro.ie/,active,False
IL-ROC,,,IL,http://www.justice.gov.il/Units/RasutHataagidim/units/RashamHachvarot/Pages/default.aspx,active,True
IM-CR,,,IM,https://www.gov.im/categories/business-and-industries/companies-registry,active,False
IM-GR,,,IM,http://www.gov.im/registries/courts/charities/,active,True
IN-MCA,,,IN,http://www.mca.gov.in/,active,False
IN-MHA,,,IN,https://fcraonline.nic.in/,active,False
IT-CF,,,IT,http://www.registroimprese.it/,active,True
IT-RI,,,IT,http://www.registroimprese.it/,withdrawn,True
JE-FSC,,,JE,http://www.jerseyfsc.org/index.asp,active,False
JE-OAC,,,JE,http://www.jerseyoverseasaid.org.je/,withdrawn,False
JO-CCD,,,JO,http://www.ccd.gov.jo/,active,True
JO-MSD,,,JO,http://www.societies.gov.jo/,active,True
JP-JCN,,,JP,http://www.houjin-bangou.nta.go.jp/,active,True
KE-NCB,,,KE,http://www.ngobureau.or.ke/,active,False
KE-RCO,,,KE,http://www.attorney-general.go.ke/,active,False
KE-RSO,,,KE,http://www.attorney-general.go.ke/,withdrawn,False
KG-ID,,,KG,http://register.minjust.gov.kg/register/SearchAction.seam?logic=and&cid=204,active,True
KG-INN,,,KG,http://register.minjust.gov.kg/register/SearchAction.seam?logic=and&cid=205,active,True
KZ-BIN,,,KZ,http://kgd.gov.kz/en/services/taxpayer_search/legal_entity,active,True
LB-CR,,,LB,http://cr.justice.gov.lb/desc/desc.aspx,active,True
LB-MOI,,,LB,http://www.interior.gov.lb/,active,False
LS-LCN,,,LS,http://www.lcn.org.ls/,withdrawn,False
LT-PVM,,,LT,http://www.registrucentras.lt/jar/index_en.php,active,True
LT-RC,,,LT,http://www.registrucentras.lt/jar/index_en.php,active,True
LV-RE,,,LV,http://www.ur.gov.lv/,active,True
MD-IDNO,,,MD,http://www.idno.md/,active,True
ML-CCIM,,,ML,http://www.cci.ml/,active,False
ML-NIF,,,ML,http://demarchesadministratives.gouv.ml/demarches/afficher/Numero-d-Identification-Fiscale-NIF,active,False
MM-MHA,,,MM,,active,False
MU-CR,,,MU,http://companies.govmu.org/,active,True
MW-CNM,,,MW,http://www.congoma.mw,withdrawn,False
MW-MRA,,,MW,http://www.mra.mw/,withdrawn,False
MW-NBM,,,MW,http://ngoboardmalawi.mw/directory.php,active,False
