code,name,description,category,url,status
41125,United Nations Institute for Training and Research,,41000,,active
41126,United Nations Mine Action Service,,41000,,active
41127,United Nations Office of Co-ordination of Humanitarian Affairs,,41000,,withdrawn
41128,United Nations Office on Drugs and Crime,,41000,,withdrawn
41129,United Nations Research Institute for Social Development,,41000,,withdrawn
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,,41000,,withdrawn
41131,United Nations System Staff College,,41000,,withdrawn
41132,United Nations System Standing Committee on Nutrition,,41000,,active
41133,United Nations Special Initiative on Africa,,41000,,active
41134,United Nations University (including Endowment Fund),,41000,,active
41135,United Nations Volunteers,,41000,,active
41136,United Nations Voluntary Fund on Disability,,41000,,active
41137,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights,,41000,,active
41138,United Nations Voluntary Fund for Victims of Torture,,41000,,withdrawn
41140,World Food Programme,,41000,,active
41141,United Nations Peacebuilding Fund (Window Two: Restricted Contributions Only),,41000,,active
41142,United Nations Democracy Fund,,41000,,active
41143,World Health Organisation - core voluntary contributions account,,41000,,active
41144,International Labour Organisation - Regular Budget Supplementary Account,,41000,,active
41145,International Maritime Organization - Technical Co-operation Fund,,41000,,active
41146,United Nations Entity for Gender Equality and the Empowerment of Women,,41000,,active
41147,Central Emergency Response Fund,,41000,,active
41148,"United Nations Department of Political Affairs, Trust Fund in Support of Political Affairs",,41000,,active
41149,United Nations Development Coordination Office,,41000,,active
41150,United Nations Institute for Disarmament Research,,41000,,active
41300,Other UN (Core Contributions Reportable in Part),,,,active
41301,Food and Agricultural Organisation,,41000,,active
41302,International Labour Organisation - Assessed Contributions,,41000,,active
41303,International Telecommunications Union,,41000,,active
41304,"United Nations Educational, Scientific and Cultural Organisation",,41000,,active
41305,United Nations,,41000,,active
41306,Universal Postal Union,,41000,,active
41307,World Health Organisation - assessed contributions,,41000,,active
41308,World Intellectual Property Organisation,,41000,,active
41309,World Meteorological Organisation,,41000,,active
41310,"United Nations Department of Peacekeeping Operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",,41000,,active
41311,United Nations Peacebuilding Fund (Window One: Flexible Contributions Only),,41000,,active
41312,International Atomic Energy Agency - assessed contributions,,41000,,active
41313,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),,41000,,active
41314,United Nations Economic Commission for Europe (extrabudgetary contributions only),,41000,,active
41315,United Nations International Strategy for Disaster Reduction,,41000,,active
41316,United Nations Framework Convention on Climate Change,,41000,,active
41317,Green Climate Fund,,47000,,active
41318,Global Mechanism,,41000,,active
41319,World Tourism Organization,,41000,,active
41320,Technology Bank for Least Developed Countries,,41000,,active
41501,United Nations Reducing Emissions from Deforestation and Forest Degradation,,41000,,active
41502,United Nations Office for Project Services,,41000,,active
41503,UN-led Country-based Pooled Funds,,41000,,active
42000,European Union Institutions,,,,active
