code,name,description,category,url,status
1,Bilateral,,,,active
2,Multilateral (inflows),,,,active
3,"Bilateral, core contributions to NGOs and other private bodies / PPPs",,,,active
4,Multilateral outflows,,,,active
6,Private Sector Outflows,,,,active
7,"Bilateral, ex-post reporting on NGOs’ activities funded through core contributions",,,,active
8,"Bilateral, triangular co-operation.","Activities where one or more bilateral providers of development co-operation or international organisations support South-South co-operation, joining forces with developing countries to facilitate a sharing of knowledge and experience among all partners involved. (Activities that only involve bilateral providers or multilateral agencies without a South-South co-operation element (e.g. joint programming, pooled funding or delegated co-operation) should not be assigned bi_multi 8.)",,,active
