code,name,description,category,url,status
1,Money is disbursed through central Ministry of Finance or Treasury,Money is disbursed through central Ministry of Finance or Treasury,,,active
2,Money is disbursed directly to the implementing institution and managed through a separate bank account,Money is disbursed directly to the implementing institution and managed through a separate bank account,,,active
3,"Aid in kind: Donors utilise third party agencies, e.g. NGOs or management companies","Aid in kind: Donors utilise third party agencies, e.g. NGOs or management companies",,,active
4,Aid in kind: Donors manage funds themselves,Aid in kind: Donors manage funds themselves,,,active
